StateCode,Division,Year,Month,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX
106,0,1996,11,3.85,51.3,2.32,2.32,2.25,2.32,32,327,1.16,0.64,1.08,1.85,0.6,0.05,0.15,40.3,62.2
106,0,1996,12,1.72,46,2,2,-0.24,1.83,12,477,-0.77,0.45,0.19,1.55,0.62,-0.09,0.08,33.5,58.5
106,0,1997,1,1.95,41.3,1.9,1.9,0.31,1.79,8,634,-0.21,-0.74,0.2,1.21,0.74,-0.01,0.01,30.3,52.2
106,0,1997,2,4.5,46.4,3,3,3.89,3,11,431,2.31,1.42,0.7,1.22,1.96,0.79,0.45,36.6,56.2
106,0,1997,3,2.76,56.7,2.56,2.56,-0.4,2.33,66,235,0.08,1.64,1.12,0.7,1.93,1,0.36,43.6,69.7
106,0,1997,4,5.37,57.2,3.72,3.72,4.28,3.72,33,186,1.74,1.29,2.12,1.52,2.25,1.73,0.58,45.6,68.8
106,0,1997,5,4.08,68,3.57,3.57,0.7,3.57,188,32,0.14,1.27,1.06,1.14,1.57,2.25,0.34,56.2,80
106,0,1997,6,4.84,76.1,4,4,2.41,4,376,2,1.03,0.72,1.5,1.62,1.33,2.41,0.48,65.1,87
106,0,1997,7,2.34,81.7,3.76,3.76,0.52,3.76,548,0,-0.92,0.24,0.21,1.49,1.24,1.84,0.36,70,93.3
106,0,1997,8,3.26,79.6,3.72,3.72,1.02,3.72,502,1,0.42,-0.4,0.3,0.92,1.03,1.37,0.43,68.2,91
106,0,1997,9,2.51,75.7,2.89,2.89,-1.32,2.31,382,5,-0.52,-0.22,-0.66,0.72,1.08,0.88,0.28,63.4,88
106,0,1997,10,3.66,63.5,3.04,3.04,1.35,2.94,114,85,0.75,0.24,0.29,0.26,1.32,1.15,0.56,51.4,75.6
106,0,1997,11,2.32,49.4,2.84,2.84,0.32,2.79,11,391,0.03,0.5,0.13,0.22,0.74,0.88,0.62,38.5,60.3
106,0,1997,12,3.43,42.2,3.14,3.14,1.79,3.14,3,601,1,0.55,0.74,0.14,0.96,1.24,0.74,32,52.4
106,0,1998,1,3.92,46.2,3.84,3.84,3.07,3.84,25,489,1.65,1.81,1.24,0.98,0.88,1.7,1.09,35.4,57
106,0,1998,2,3.03,48.3,3.92,3.92,1.43,3.92,14,400,0.92,1.72,1.87,1.13,1.13,1.41,1.45,37.5,59.1
